24,1,2013-09-02 08:31:00,2013-09-02,08:31:00,8,201324077961,3300 BLOCK KENSINGTON AV,600,40781,Thefts,40781,-75.11100951,39.99785614
14,1,2013-09-02 08:45:00,2013-09-02,08:45:00,8,201314065487,7800 BLOCK FORREST AV,600,21695,Thefts,21695,-75.1652113,40.0704295
24,1,2013-09-02 09:02:00,2013-09-02,09:02:00,9,201324077974,1800 BLOCK E SEDGLEY AVE,500,56332,Burglary Non-Residential,56332,-75.10135916,40.00275149
03,1,2013-09-02 09:11:00,2013-09-02,09:11:00,9,201303054517,1200 BLOCK RODMAN ST,500,136072,Burglary Residential,136072,-75.16194064,39.94380028
26,1,2013-09-02 10:21:00,2013-09-02,10:21:00,10,201326044190,2400 BLOCK N PHILIP ST,700,21032,Recovered Stolen Motor Vehicle,21032,-75.13650195,39.98695377
22,1,2013-09-02 10:54:00,2013-09-02,10:54:00,10,201322071829,2000 BLOCK N 10TH ST,600,26260,Theft from Vehicle,26260,-75.1500739,39.9823701
24,1,2013-09-02 11:13:00,2013-09-02,11:13:00,11,201324077984,2100 BLOCK WHEATSHEAF LA,500,56333,Burglary Non-Residential,56333,-75.09174576,40.00000802
24,1,2013-09-02 11:51:00,2013-09-02,11:51:00,11,201324077994,3900 BLOCK K ST,500,10106,Burglary Residential,10106,-75.10517579,40.00663273
19,1,2013-09-02 11:53:00,2013-09-02,11:53:00,11,201319075654,5800 BLOCK WOODCREST AVE,500,49254,Burglary Residential,49254,-75.24070594,39.98787396
09,1,2013-09-02 12:13:00,2013-09-02,12:13:00,12,201309035388,1600 BLOCK CHESTNUT ST,600,4969,Thefts,4969,-75.1677072,39.95127558
02,1,2013-09-02 12:25:00,2013-09-02,12:25:00,12,201302057451,4600 BLOCK E ROOSEVELT BLVD,600,40946,Thefts,40946,-75.09939407,40.028377
24,1,2013-09-02 12:38:00,2013-09-02,12:38:00,12,201324077995,4200 BLOCK NEILSON ST,700,24768,Recovered Stolen Motor Vehicle,24768,-75.09714983,40.01089545
17,1,2013-09-02 12:56:00,2013-09-02,12:56:00,12,201317039342,2200 BLOCK CARPENTER ST,500,25140,Burglary Residential,25140,-75.17979161,39.94065314
25,1,2013-09-02 13:04:00,2013-09-02,13:04:00,13,201325074310,3900 BLOCK N 5TH ST,700,21020,Recovered Stolen Motor Vehicle,21020,-75.13610946,40.01113924
15,1,2013-09-02 13:08:00,2013-09-02,13:08:00,13,201315083896,5100 BLOCK DITMAN ST,600,506671,Thefts,506671,-75.07179892,40.01420611
16,1,2013-09-02 13:28:00,2013-09-02,13:28:00,13,201316034381,3700 BLOCK BARING ST,600,33541,Thefts,33541,-75.19572643,39.96087898
